PID,BIAS,REPS,Elapsed,MS
6,fillerREL,30,3.241666667,1426
6,fillerREL,30,3.139166667,1602
6,fillerREL,30,5.631666667,1722
6,fillerREL,30,5.981388889,2506
6,fillerUNREL,0,,874
6,fillerUNREL,0,,938
6,fillerUNREL,0,,954
6,fillerUNREL,0,,1002
6,fillerUNREL,0,,1226
6,fillerUNREL,0,,1547
6,fillerUNREL,0,,1893
6,fillerUNREL,0,,1978
6,fillerUNREL,0,,2274
6,fillerUNREL,0,,2882
6,fillerUNREL,0,,3139
6,fillerUNREL,0,,3267
6,fillerUNREL,3,3.092777778,738
6,fillerUNREL,3,5.685,906
6,fillerUNREL,3,4.787222222,938
6,fillerUNREL,3,3.585277778,970
6,fillerUNREL,3,3.157777778,1082
6,fillerUNREL,3,5.042777778,1162
6,fillerUNREL,3,1.465833333,1306
6,fillerUNREL,3,6.12,1314
6,fillerUNREL,3,1.124166667,1602
6,fillerUNREL,3,4.935833333,1842
6,fillerUNREL,3,3.421944444,2130
6,fillerUNREL,3,6.007222222,3334
6,fillerUNREL,30,2.0025,794
6,fillerUNREL,30,2.911388889,851
6,fillerUNREL,30,5.527222222,858
6,fillerUNREL,30,1.410555556,1034
6,fillerUNREL,30,6.1,1074
6,fillerUNREL,30,4.008333333,1082
6,fillerUNREL,30,3.505555556,2018
6,fillerUNREL,30,3.609444444,2026
6,fillerUNREL,30,6.200833333,2082
6,fillerUNREL,30,4.704722222,2218
6,fillerUNREL,30,4.140555556,2435
6,fillerUNREL,30,4.980555556,2546
6,subordinate,0,,682
6,subordinate,0,,946
6,subordinate,0,,1014
6,subordinate,0,,1202
6,subordinate,0,,1227
6,subordinate,0,,1266
6,subordinate,0,,3683
6,subordinate,0,,4899
6,subordinate,3,3.600277778,738
6,subordinate,3,3.114444444,890
6,subordinate,3,2.437222222,947
6,subordinate,3,1.411111111,1130
6,subordinate,3,2.635277778,1146
